ind_id,species,habitat,result,site
KDM18/060,Rattus satarae,Forest,1,Kadumane
KDM18/061,Rattus satarae,Forest,1,Kadumane
KDM18/062,Rattus satarae,Forest,1,Kadumane
KDM18/063,Rattus satarae,Forest,0,Kadumane
KDM18/064,Rattus satarae,Forest,1,Kadumane
KDM18/065,Rattus satarae,Forest,1,Kadumane
KDM18/066,Rattus satarae,Forest,1,Kadumane
KDM18/067,Rattus satarae,Forest,1,Kadumane
KDM18/068,Rattus satarae,Forest,1,Kadumane
KDM18/069,Rattus satarae,Forest,1,Kadumane
KDM18/070,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/071,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/072,Mus cf fernandoni,Grassland,0,Kadumane
KDM18/073,Mus cf fernandoni,Grassland,0,Kadumane
KDM18/074,Mus cf fernandoni,Grassland,0,Kadumane
KDM18/076,Mus cf famulus,Grassland,0,Kadumane
KDM18/077,Mus cf famulus,Grassland,0,Kadumane
KDM18/078,Mus cf fernandoni,Grassland,0,Kadumane
KDM18/079,Mus cf famulus,Grassland,0,Kadumane
KDM18/080,Mus cf fernandoni,Grassland,0,Kadumane
KDM18/081,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/082,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/083,Mus cf famulus,Grassland,0,Kadumane
KDM18/084,Mus cf fernandoni,Grassland,0,Kadumane
KDM18/085,Mus cf terricolor,Grassland,0,Kadumane
KDM18/086,Mus cf fernandoni,Grassland,0,Kadumane
KDM18/087,Mus cf famulus,Grassland,0,Kadumane
KDM18/088,Mus cf famulus,Grassland,0,Kadumane
KDM18/089,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/090,Mus cf famulus,Grassland,0,Kadumane
KDM18/091,Mus cf famulus,Grassland,0,Kadumane
KDM18/093,Mus cf famulus,Grassland,0,Kadumane
KDM18/094,Mus cf terricolor,Grassland,0,Kadumane
KDM18/095,Mus cf terricolor,Grassland,0,Kadumane
KDM18/096,Mus cf terricolor,Grassland,0,Kadumane
KDM18/097,Mus cf famulus,Grassland,0,Kadumane
KDM18/098,Mus cf famulus,Grassland,0,Kadumane
KDM18/099,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/100,Mus cf fernandoni,Grassland,0,Kadumane
KDM18/101,Mus cf famulus,Grassland,0,Kadumane
KDM18/102,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/103,Mus cf fernandoni,Grassland,0,Kadumane
KDM18/104,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/105,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/106,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/107,Mus cf famulus,Grassland,0,Kadumane
KDM18/108,Mus cf famulus,Grassland,0,Kadumane
KDM18/109,Mus cf famulus,Grassland,0,Kadumane
KDM18/110,Mus cf famulus,Grassland,0,Kadumane
KDM18/111,Rattus rattus,Built-up,0,Kadumane
KDM18/112,Rattus rattus,Built-up,0,Kadumane
KDM18/113,Mus cf terricolor,Grassland,0,Kadumane
KDM18/114,Mus cf terricolor,Grassland,0,Kadumane
KDM18/115,Mus cf famulus,Grassland,0,Kadumane
KDM18/116,Mus cf famulus,Grassland,0,Kadumane
KDM18/117,Mus cf famulus,Grassland,0,Kadumane
KDM18/118,Rattus rattus,Built-up,0,Kadumane
KDM18/119,Rattus rattus,Built-up,0,Kadumane
KDM18/120,Rattus rattus,Built-up,0,Kadumane
KDM18/121,Rattus rattus,Built-up,0,Kadumane
KDM18/122,Mus cf fernandoni,Grassland,1,Kadumane
KDM18/123,Mus cf famulus,Built-up,0,Kadumane
KDM18/124,Mus cf famulus,Built-up,0,Kadumane
KDM18/125,Suncus niger,Built-up,0,Kadumane
KDM18/126,Rattus satarae,Forest,1,Kadumane
KDM18/127,Mus cf famulus,Built-up,0,Kadumane
KDM18/128,Mus cf famulus,Built-up,0,Kadumane
KDM18/130,Rattus rattus,Built-up,0,Kadumane
KDM18/131,Rattus rattus,Built-up,0,Kadumane
KDM18/132,Rattus rattus,Built-up,0,Kadumane
KDM18/133,Suncus niger,Built-up,0,Kadumane
KDM18/134,Rattus satarae,Forest,1,Kadumane
KDM18/135,Rattus rattus,Built-up,0,Kadumane
KDM18/136,Mus cf famulus,Built-up,0,Kadumane
KDMK21/001,Rattus satarae,Grassland,0,Kudremukh
KDMK21/003,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/004,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/005,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/006,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/007,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/008,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/009,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/010,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/011,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/012,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/013,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/014,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/015,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/016,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/018,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/019,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/020,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/021,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/025,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/026,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/027,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/028,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/029,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/030,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/032,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/033,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/034,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/035,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/036,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/037,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/038,Rattus satarae,Forest,1,Kudremukh
KDMK21/039,Rattus satarae,Forest,0,Kudremukh
KDMK21/040,Rattus satarae,Forest,0,Kudremukh
KDMK21/042,Rattus satarae,Forest,1,Kudremukh
KDMK21/043,Rattus satarae,Forest,1,Kudremukh
KDMK21/048,Rattus satarae,Forest,0,Kudremukh
KDMK21/050,Rattus satarae,Forest,1,Kudremukh
KDMK21/052,Rattus satarae,Forest,1,Kudremukh
KDMK21/053,Rattus satarae,Forest,1,Kudremukh
KDMK21/058,Mus cf fernandoni,Grassland,0,Kudremukh
KDMK21/059,Mus cf fernandoni,Grassland,1,Kudremukh
KDMK21/061,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/062,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/063,Mus cf fernandoni,Grassland,1,Kudremukh
KDMK21/064,Mus cf fernandoni,Grassland,0,Kudremukh
KDMK21/065,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/066,Mus cf famulus,Grassland,0,Kudremukh
KDMK21/067,Mus cf famulus,Grassland,0,Kudremukh
KDMK21/068,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/070,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/071,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/072,Mus cf fernandoni,Grassland,0,Kudremukh
KDMK21/073,Mus cf terricolor,Grassland,0,Kudremukh
KDMK21/074,Mus cf famulus,Grassland,0,Kudremukh
KDMK21/076,Rattus satarae,Forest,1,Kudremukh
KDMK21/077,Rattus satarae,Forest,0,Kudremukh
KDMK21/078,Rattus satarae,Forest,0,Kudremukh
KDMK21/082,Platacanthomys lasiurus,Forest,0,Kudremukh
KDMK21/083,Rattus satarae,Forest,1,Kudremukh
KDMK21/084,Rattus satarae,Forest,0,Kudremukh
KDMK21/086,Rattus satarae,Forest,1,Kudremukh
KDMK21/090,Rattus satarae,Forest,1,Kudremukh
KDMK21/092,Rattus satarae,Forest,1,Kudremukh
KDMK21/093,Rattus satarae,Forest,1,Kudremukh
KDMK21/094,Rattus satarae,Forest,1,Kudremukh
KDMK21/095,Rattus satarae,Forest,1,Kudremukh
KDMK21/100,Suncus niger,Forest,1,Kudremukh
KDMK21/101,Rattus satarae,Forest,1,Kudremukh
KDMK21/102,Rattus satarae,Forest,1,Kudremukh
KDMK21/107,Rattus satarae,Forest,1,Kudremukh
KDMK21/108,Rattus satarae,Forest,1,Kudremukh
KDMK21/110,Suncus niger,Forest,1,Kudremukh
KDMK21/114,Suncus niger,Built-up,0,Kudremukh
KDMK21/115,Suncus niger,Built-up,0,Kudremukh
KDMK21/116,Rattus rattus,Built-up,1,Kudremukh
KDMK21/117,Funambulus tristriatus,Built-up,0,Kudremukh
KDMK21/118,Rattus rattus,Built-up,0,Kudremukh
KDMK21/119,Rattus rattus,Built-up,0,Kudremukh
KDMK21/121,Rattus rattus,Built-up,0,Kudremukh
